PROGRAM CODE,PROGRAM NAME,COURSE CODE,COURSE NAME,GROUP NAME,TOTAL
CS225,BACHELOR OF SCIENCE (HONOURS) (DATA COMMUNICATION AND NETWORKING),CSP650,PROJECT,CS22510P,1
CS230,BACHELOR OF COMPUTER SCIENCE (HONOURS),CSC404,PROGRAMMING II,CS2302A,16
CS230,BACHELOR OF COMPUTER SCIENCE (HONOURS),CSC404,PROGRAMMING II,CS2302B,14
CS230,BACHELOR OF COMPUTER SCIENCE (HONOURS),CSC438,FUNDAMENTAL OF DATA STRUCTURES,CS2305A,1
CS230,BACHELOR OF COMPUTER SCIENCE (HONOURS),CSC463,FUNDAMENTALS OF ARTIFICIAL INTELLIGENCE,CS2303B,24
CS230,BACHELOR OF COMPUTER SCIENCE (HONOURS),CSC508,DATA STRUCTURES,CS2305A,18
CS230,BACHELOR OF COMPUTER SCIENCE (HONOURS),CSC508,DATA STRUCTURES,CS2305B,24
CS230,BACHELOR OF COMPUTER SCIENCE (HONOURS),CSC510,DISCRETE STRUCTURES,CS2302A,2
CS230,BACHELOR OF COMPUTER SCIENCE (HONOURS),CSC510,DISCRETE STRUCTURES,CS2303A,15
CS230,BACHELOR OF COMPUTER SCIENCE (HONOURS),CSC510,DISCRETE STRUCTURES,CS2303B,24
CS230,BACHELOR OF COMPUTER SCIENCE (HONOURS),CSC520,PRINCIPLES OF OPERATING SYSTEMS,CS2302A,14
CS230,BACHELOR OF COMPUTER SCIENCE (HONOURS),CSC520,PRINCIPLES OF OPERATING SYSTEMS,CS2302B,15
CS230,BACHELOR OF COMPUTER SCIENCE (HONOURS),CSC520,PRINCIPLES OF OPERATING SYSTEMS,CS2303A,15
CS230,BACHELOR OF COMPUTER SCIENCE (HONOURS),CSC520,PRINCIPLES OF OPERATING SYSTEMS,CS2303B,23
CS230,BACHELOR OF COMPUTER SCIENCE (HONOURS),CSC574,DYNAMIC WEB APPLICATION DEVELOPMENT,CS2305AK,1
CS230,BACHELOR OF COMPUTER SCIENCE (HONOURS),CSC645,ALGORITHM ANALYSIS AND DESIGN,CS2305A,18
CS230,BACHELOR OF COMPUTER SCIENCE (HONOURS),CSC645,ALGORITHM ANALYSIS AND DESIGN,CS2305B,25
CS230,BACHELOR OF COMPUTER SCIENCE (HONOURS),CSP600,PROJECT FORMULATION,CS2305A,23
CS230,BACHELOR OF COMPUTER SCIENCE (HONOURS),CSP600,PROJECT FORMULATION,CS2305B,20
CS230,BACHELOR OF COMPUTER SCIENCE (HONOURS),CSP650,PROJECT,CS2307A,1
CS230,BACHELOR OF COMPUTER SCIENCE (HONOURS),CST699,INDUSTRIAL TRAINING,CS2307A,1
CS230,BACHELOR OF COMPUTER SCIENCE (HONOURS),CTU551,ISLAM AND ASIAN CIVILIZATION,CS2302A,14
CS230,BACHELOR OF COMPUTER SCIENCE (HONOURS),CTU551,ISLAM AND ASIAN CIVILIZATION,CS2302B,14
CS230,BACHELOR OF COMPUTER SCIENCE (HONOURS),CTU555,MALAYSIAN HISTORY,CS2303A,15
CS230,BACHELOR OF COMPUTER SCIENCE (HONOURS),CTU555,MALAYSIAN HISTORY,CS2303B,26
CS230,BACHELOR OF COMPUTER SCIENCE (HONOURS),ELC501,ENGLISH FOR CRITICAL ACADEMIC READING,CS2303A,34
CS230,BACHELOR OF COMPUTER SCIENCE (HONOURS),ELC501,ENGLISH FOR CRITICAL ACADEMIC READING,CS2443A,5
CS230,BACHELOR OF COMPUTER SCIENCE (HONOURS),ELC550,ENGLISH FOR ACADEMIC WRITING,CS2424A,3
CS230,BACHELOR OF COMPUTER SCIENCE (HONOURS),ELC650,ENGLISH FOR PROFESSIONAL INTERACTION,CS2305A,20
CS230,BACHELOR OF COMPUTER SCIENCE (HONOURS),ELC650,ENGLISH FOR PROFESSIONAL INTERACTION,CS2305B,23
CS230,BACHELOR OF COMPUTER SCIENCE (HONOURS),ENT600,TECHNOLOGY ENTREPRENEURSHIP,CS2305A,18
CS230,BACHELOR OF COMPUTER SCIENCE (HONOURS),ENT600,TECHNOLOGY ENTREPRENEURSHIP,CS2305B,25
CS230,BACHELOR OF COMPUTER SCIENCE (HONOURS),HBU122,CIVIL DEFENCE II,BHBU122A,1
CS230,BACHELOR OF COMPUTER SCIENCE (HONOURS),HBU126,BRASS BAND II,BHBU126B,3
CS230,BACHELOR OF COMPUTER SCIENCE (HONOURS),HBU126,BRASS BAND II,BHBU126C,2
CS230,BACHELOR OF COMPUTER SCIENCE (HONOURS),HBU126,BRASS BAND II,BHBU126E,1
CS230,BACHELOR OF COMPUTER SCIENCE (HONOURS),HBU127,RED CRESCENT 2,BHBU127A,1
